         576979 function calls in 9.286 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    9.286    9.286 <string>:1(<module>)
        1    0.007    0.007    0.021    0.021 Queue.py:1(<module>)
     3927    0.010    0.000    0.027    0.000 Queue.py:107(put)
        1    0.000    0.000    0.000    0.000 Queue.py:13(Full)
     3927    0.013    0.000    0.034    0.000 Queue.py:150(get)
        1    0.000    0.000    0.000    0.000 Queue.py:17(Queue)
        1    0.000    0.000    0.000    0.000 Queue.py:197(_init)
     7855    0.003    0.000    0.005    0.000 Queue.py:200(_qsize)
     3927    0.002    0.000    0.003    0.000 Queue.py:204(_put)
     3927    0.003    0.000    0.003    0.000 Queue.py:208(_get)
        1    0.000    0.000    0.000    0.000 Queue.py:212(PriorityQueue)
        1    0.005    0.005    0.007    0.007 Queue.py:22(__init__)
        1    0.000    0.000    0.000    0.000 Queue.py:231(LifoQueue)
        1    0.000    0.000    0.000    0.000 Queue.py:9(Empty)
     3928    0.008    0.000    0.016    0.000 Queue.py:93(empty)
        1    0.000    0.000    0.000    0.000 UserDict.py:17(__getitem__)
        1    0.000    0.000    0.000    0.000 UserDict.py:69(__contains__)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:159(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:176(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:275(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:278(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:320(CDLL)
        2    0.001    0.001    0.029    0.015 __init__.py:337(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:347(_FuncPtr)
       16    0.000    0.000    0.000    0.000 __init__.py:363(__getattr__)
       16    0.000    0.000    0.000    0.000 __init__.py:370(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:376(PyDLL)
        1    0.004    0.004    0.005    0.005 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:416(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:417(__init__)
        1    0.000    0.000    0.028    0.028 __init__.py:430(LoadLibrary)
        3    0.000    0.000    0.000    0.000 __init__.py:480(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:481(CFunctionType)
     3927    2.905    0.001    2.910    0.001 __init__.py:52(create_string_buffer)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 _endian.py:22(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:45(BigEndianStructure)
        1    0.009    0.009    9.284    9.284 bfs.py:1(<module>)
        1    0.321    0.321    9.201    9.201 bfs.py:8(main)
        1    0.002    0.002    0.002    0.002 bisect.py:1(<module>)
        1    0.005    0.005    0.005    0.005 collections.py:1(<module>)
        2    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
        1    0.007    0.007    0.009    0.009 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        2    0.000    0.000    0.000    0.000 posixpath.py:59(join)
    11813    0.007    0.000    0.007    0.000 ramcloud.py:184(get_key)
        1    0.003    0.003    0.054    0.054 ramcloud.py:19(<module>)
    11813    0.008    0.000    0.011    0.000 ramcloud.py:190(get_keyLength)
        1    0.000    0.000    0.000    0.000 ramcloud.py:196(RCException)
        1    0.000    0.000    0.000    0.000 ramcloud.py:202(NoObjectError)
        1    0.000    0.000    0.000    0.000 ramcloud.py:205(ObjectExistsError)
        1    0.000    0.000    0.000    0.000 ramcloud.py:208(VersionError)
        1    0.000    0.000    0.000    0.000 ramcloud.py:215(RAMCloud)
        1    0.000    0.000    0.000    0.000 ramcloud.py:216(__init__)
    11813    0.002    0.000    0.002    0.000 ramcloud.py:218(<lambda>)
        1    0.000    0.000    0.000    0.000 ramcloud.py:220(__del__)
    11818    0.007    0.000    0.007    0.000 ramcloud.py:224(handle_error)
        1    0.000    0.000    0.000    0.000 ramcloud.py:235(connect)
        1    0.000    0.000    0.000    0.000 ramcloud.py:24(RejectRules)
        1    0.001    0.001    0.001    0.001 ramcloud.py:243(create_table)
        2    0.001    0.000    0.001    0.000 ramcloud.py:262(drop_table)
        1    0.000    0.000    0.000    0.000 ramcloud.py:266(get_table_id)
     3927    0.855    0.000    7.969    0.002 ramcloud.py:279(read)
     3927    4.191    0.001    7.114    0.002 ramcloud.py:286(read_rr)
     7886    0.015    0.000    0.679    0.000 ramcloud.py:307(write)
     7886    0.641    0.000    0.664    0.000 ramcloud.py:315(write_rr)
        1    0.000    0.000    0.029    0.029 ramcloud.py:49(load_so)
        1    0.009    0.009    0.009    0.009 random.py:40(<module>)
        1    0.000    0.000    0.000    0.000 random.py:643(WichmannHill)
        1    0.000    0.000    0.000    0.000 random.py:71(Random)
        1    0.000    0.000    0.000    0.000 random.py:793(SystemRandom)
        1    0.000    0.000    0.000    0.000 random.py:90(__init__)
        1    0.000    0.000    0.000    0.000 random.py:99(seed)
        2    0.000    0.000    0.000    0.000 re.py:188(compile)
        2    0.000    0.000    0.000    0.000 re.py:229(_compile)
        2    0.000    0.000    0.000    0.000 sre_compile.py:367(_compile_info)
        2    0.000    0.000    0.000    0.000 sre_compile.py:38(_compile)
        4    0.000    0.000    0.000    0.000 sre_compile.py:480(isstring)
        2    0.000    0.000    0.000    0.000 sre_compile.py:486(_code)
        2    0.000    0.000    0.000    0.000 sre_compile.py:501(compile)
       22    0.000    0.000    0.000    0.000 sre_parse.py:144(append)
        2    0.000    0.000    0.000    0.000 sre_parse.py:146(getwidth)
        2    0.000    0.000    0.000    0.000 sre_parse.py:184(__init__)
       28    0.000    0.000    0.000    0.000 sre_parse.py:188(__next)
        2    0.000    0.000    0.000    0.000 sre_parse.py:201(match)
       26    0.000    0.000    0.000    0.000 sre_parse.py:207(get)
        2    0.000    0.000    0.000    0.000 sre_parse.py:307(_parse_sub)
        2    0.000    0.000    0.000    0.000 sre_parse.py:385(_parse)
        2    0.000    0.000    0.000    0.000 sre_parse.py:669(parse)
        2    0.000    0.000    0.000    0.000 sre_parse.py:73(__init__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:96(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:107(_RandomNameSequence)
        1    0.007    0.007    0.015    0.015 tempfile.py:18(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:357(_TemporaryFileWrapper)
        1    0.000    0.000    0.000    0.000 tempfile.py:483(SpooledTemporaryFile)
        1    0.002    0.002    0.002    0.002 threading.py:1(<module>)
        5    0.000    0.000    0.000    0.000 threading.py:176(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:179(_Condition)
        5    0.000    0.000    0.000    0.000 threading.py:181(__init__)
     7855    0.006    0.000    0.010    0.000 threading.py:221(_is_owned)
     7855    0.014    0.000    0.026    0.000 threading.py:272(notify)
        1    0.000    0.000    0.000    0.000 threading.py:290(notifyAll)
        1    0.000    0.000    0.000    0.000 threading.py:299(_Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:347(_BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 threading.py:359(Event)
        1    0.000    0.000    0.000    0.000 threading.py:362(_Event)
        1    0.000    0.000    0.000    0.000 threading.py:366(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:376(set)
        1    0.000    0.000    0.000    0.000 threading.py:414(Thread)
        1    0.000    0.000    0.000    0.000 threading.py:426(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:510(_set_ident)
        1    0.000    0.000    0.000    0.000 threading.py:57(_Verbose)
        7    0.000    0.000    0.000    0.000 threading.py:59(__init__)
     7855    0.002    0.000    0.002    0.000 threading.py:64(_note)
        1    0.000    0.000    0.000    0.000 threading.py:713(_Timer)
        1    0.000    0.000    0.000    0.000 threading.py:742(_MainThread)
        1    0.000    0.000    0.000    0.000 threading.py:744(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:752(_set_daemon)
        1    0.000    0.000    0.000    0.000 threading.py:783(_DummyThread)
        1    0.000    0.000    0.000    0.000 threading.py:99(_RLock)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.002    0.002    0.018    0.018 util.py:4(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:45(filterwarnings)
       10    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
    31482    0.007    0.000    0.007    0.000 {_ctypes.byref}
        2    0.028    0.014    0.028    0.014 {_ctypes.dlopen}
        1    0.000    0.000    0.000    0.000 {_ctypes.set_conversion_mode}
       38    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        2    0.000    0.000    0.000    0.000 {_sre.compile}
       12    0.000    0.000    0.000    0.000 {_sre.getlower}
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
    19639    0.010    0.000    0.010    0.000 {built-in method acquire}
    11784    0.002    0.000    0.002    0.000 {built-in method release}
        1    0.001    0.001    9.286    9.286 {execfile}
        1    0.000    0.000    0.000    0.000 {function seed at 0xe78140}
        6    0.000    0.000    0.000    0.000 {hasattr}
     7880    0.005    0.000    0.005    0.000 {isinstance}
        1    0.000    0.000    0.000    0.000 {issubclass}
    27627    0.006    0.000    0.006    0.000 {len}
        1    0.000    0.000    0.000    0.000 {math.exp}
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 {math.sqrt}
